iata,url
HRL,https://en.wikipedia.org/wiki/Valley_International_Airport
VER,https://en.wikipedia.org/wiki/Veracruz_International_Airport
VRN,https://en.wikipedia.org/wiki/Verona_Villafranca_Airport
VSA,https://en.wikipedia.org/wiki/Villahermosa_International_Airport
HOU,https://en.wikipedia.org/wiki/William_P._Hobby_Airport
ZUM,https://en.wikipedia.org/wiki/Churchill_Falls_Airport
YAY,https://en.wikipedia.org/wiki/St._Anthony_Airport
YWK,https://en.wikipedia.org/wiki/Wabush_Airport
None,https://en.wikipedia.org/wiki/Akron-Canton_Airport
CAK,https://en.wikipedia.org/wiki/Akron%E2%80%93Canton_Airport
ALB,https://en.wikipedia.org/wiki/Albany_International_Airport
CLO,https://en.wikipedia.org/wiki/Alfonso_Bonilla_Arag%C3%B3n_International_Airport
LBE,https://en.wikipedia.org/wiki/Arnold_Palmer_Regional_Airport
AVL,https://en.wikipedia.org/wiki/Asheville_Regional_Airport
None,https://en.wikipedia.org/wiki/Atlanta_Hartsfield-Jackson_International_Airport
ACY,https://en.wikipedia.org/wiki/Atlantic_City_International_Airport
MGA,https://en.wikipedia.org/wiki/Augusto_C._Sandino_International_Airport
BGR,https://en.wikipedia.org/wiki/Bangor_International_Airport
None,https://en.wikipedia.org/wiki/Birmingham-Shuttlesworth_International_Airport
LEX,https://en.wikipedia.org/wiki/Blue_Grass_Airport
BUF,https://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport
CAP,https://en.wikipedia.org/wiki/Cap-Ha%C3%AFtien_International_Airport
CHA,https://en.wikipedia.org/wiki/Chattanooga_Metropolitan_Airport
TVC,https://en.wikipedia.org/wiki/Cherry_Capital_Airport
STI,https://en.wikipedia.org/wiki/Cibao_International_Airport
CAE,https://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport
XPL,https://en.wikipedia.org/wiki/Comayagua_International_Airport
None,https://en.wikipedia.org/wiki/Concord_Regional_Airport
STT,https://en.wikipedia.org/wiki/Cyril_E._King_Airport
DAL,https://en.wikipedia.org/wiki/Dallas_Love_Field
DSM,https://en.wikipedia.org/wiki/Des_Moines_International_Airport
CID,https://en.wikipedia.org/wiki/Eastern_Iowa_Airport
MAO,https://en.wikipedia.org/wiki/Eduardo_Gomes_International_Airport
AXM,https://en.wikipedia.org/wiki/El_Ed%C3%A9n_International_Airport
OMA,https://en.wikipedia.org/wiki/Eppley_Airfield
BAQ,https://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport
None,https://en.wikipedia.org/wiki/General_Wayne_A._Downing_Peoria_International_Airport
GRR,https://en.wikipedia.org/wiki/Gerald_R._Ford_International_Airport
ROC,https://en.wikipedia.org/wiki/Greater_Rochester_International_Airport
GSP,https://en.wikipedia.org/wiki/Greenville%E2%80%93Spartanburg_International_Airport
MDT,https://en.wikipedia.org/wiki/Harrisburg_International_Airport
STX,https://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport
GYE,https://en.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_de_Olmedo_International_Airport
EYW,https://en.wikipedia.org/wiki/Key_West_International_Airport
ABE,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport
ISP,https://en.wikipedia.org/wiki/Long_Island_MacArthur_Airport
SDF,https://en.wikipedia.org/wiki/Louisville_Muhammad_Ali_International_Airport
None,https://en.wikipedia.org/wiki/Manchester-Boston_Regional_Airport
MHH,https://en.wikipedia.org/wiki/Marsh_Harbour_Airport
None,https://en.wikipedia.org/wiki/McCarran_International_Airport
TYS,https://en.wikipedia.org/wiki/McGhee_Tyson_Airport
BLV,https://en.wikipedia.org/wiki/MidAmerica_St._Louis_Airport
