"origin","nb_outlinks","outlinks","weights","nb_airlines"
"STL","66","ATL AUS BNA BOS BUR BWI CHS CLE CLT CMH CUN DAL DCA DEN DFW DTW ECP EWR FLL FRA HOU IAD IAH JAX JBR JFK LAS LAX LGA LHR MBJ MCI MCO MDW MIA MKE MSP MSY MYR OMA ORD ORF PBI PDX PHL PHX PIT PNS PUJ PVR RDU RSW SAN SAT SAV SEA SFO SJD SJU SLC SMF SRQ TPA VPS YUL YYZ","3 1 1 2 1 1 1 1 2 1 3 1 3 3 2 3 1 2 2 1 1 1 2 1 1 1 2 2 3 1 1 1 2 1 3 1 4 1 1 1 4 1 1 2 3 4 1 1 2 1 1 1 1 1 1 2 3 1 1 2 1 1 2 1 2 2","15"
"STM","11","BEL BSB BVS CNF ITB JRT MAO MTE OBI ORX TMT","2 1 1 1 1 1 2 1 1 1 2","4"
"STN","203","AAR ACE ADB AGA AGP AHO ALC ALG AMM AMS AOI ARN ASR ATH AYT BCN BDS BER BFS BGY BIQ BJV BLQ BOJ BRE BRI BRQ BSL BTS BUD BVE BZG BZR CAG CCF CDG CDT CFU CGN CHQ CIA CLJ CMF CMN COV CPH CTA DBV DLM DUB DXB EDI EFL EGC EIN ESB ESU FAO FCO FEZ FKB FLR FMM FMO FNC FNI FRL FUE GDN GLA GNB GOA GOT GRO GVA GZT HAM HEL HER HHN HRG IBZ INN IST JSI JTR KEF KGS KIR KLU KLX KRK KSC KTW KUN KVA LBC LCA LCJ LDE LEI LIG LIS LNZ LPA LRH LUX MAD MAH MJT MLA MMX MRS MXP NAP NBE NCE NOC NQY NTE NUE OLB OMR OPO ORK OSI OSL OSR OTP PDV PEG PFO PGF PIS PLQ PMF PMI PMO POZ PRG PSA PSR PUY PVK QSR RAK RBA RDZ REG REU RHO RIX RJK RMI RMO RMU RTM RVN RZE SAW SCQ SDR SJJ SKG SMI SNN SOF SPC SPU SSH SUF SVQ SXB SZG SZY SZZ TFS TGD TIA TIV TLL TLS TLV TNG TPS TRF TRN TRS TUF VCE VIE VLC VNO VRN VST WMI WRO XRY ZAD ZAG ZAZ ZRH ZTH","1 2 3 2 2 1 2 1 1 1 1 1 1 2 5 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 3 1 2 1 1 3 1 2 1 2 2 2 1 1 2 3 2 1 2 1 2 1 1 1 1 1 1 1 1 1 2 1 2 2 1 1 2 3 1 1 1 2 1 1 4 1 1 1 2 1 3 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 3 1 2 1 1 1 2 1 2 1 1 1 1 3 1 1 1 1 1 1 1 1 1 3 1 1 1 1 3 1 1 2 1 1 2 2 1 2 1 1 1 2 3 1 1 1 2 1 1 1 1 2 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 3","19"
"STR","125","ACE ADB AGA AGP AJR ALC AMM AMS ARN ASR ATH AYT BCN BDS BEG BER BEY BIA BIO BJV BOJ BRE BRI BUD BVC BZO CAG CFU CHQ CLJ COV CPH CTA DBV DIY DJE DLM DUB DXB EBL EDI EDO ESB EZS FAO FCO FNC FRA FUE GPA GWT GZT HAM HER HRG IAS IBZ IST JED JMK JTR KGS KLX KRK KVA KYA LCA LGW LHR LIS LPA MAH MAN MIR MLA MXP NAP NCE OGU OLB OMO OPO OSL OTP PMI PMO PRN PSA PUY PVK RHO RJK RMF RMO RVN SAW SID SJJ SKG SKP SOF SPC SPU SUF SZF TBS TFS TIA TIV TLV TOS TSR TUN TZX VAR VCE VIE VLC WAW XRY YEI ZAD ZAG ZRH ZTH","3 4 1 1 1 1 1 1 1 3 2 6 2 1 1 1 1 1 1 1 2 1 1 2 1 1 1 3 1 1 3 1 1 2 1 2 2 1 2 1 1 1 3 1 2 1 3 1 3 1 1 1 1 4 5 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 2 3 1 3 1 1 2 3 1 3 2 1 2 1 1 2 1 1 1 1 1 2 1 3 2 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1","29"
"STS","15","AUS BOI BUR DEN DFW LAS LAX ONT PDX PHX PSP SAN SEA SLC SNA","1 1 2 1 1 2 1 1 1 3 1 2 1 2 1","5"
"STT","27","ATL AXA BOS BWI CLT DFW DOM EIS EWR IAD IAH JFK MCO MIA MSP NEV NGD NRR ORD PHL SBH SDQ SJU SKB STX TPA VQS","1 1 2 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1","14"
"STV","13","BKK BLR CCU DEL DIU DXB GOI HYD JAI JGA MAA MDA PNQ","1 2 1 2 1 2 2 2 1 1 1 1 1","3"
"STW","5","AER LED SGC SVO SVX","1 1 1 2 1","5"
"STX","9","ATL CLT MIA NEV ORD SDQ SJU STT VQS","1 1 1 1 1 1 3 2 1","6"
"STY","1","MVD","1","1"
