"iata","icao","latitude","longitude","name","wikipedia_url","outdegree","outdegree_cargo","number_airlines","number_airlines_cargo"
"AUL","","8.302778","171.161667","","https://en.wikipedia.org/wiki/Aur_Airport","1","0","1","0"
"AUQ","NTMN","-9.768611","-139.010972","","https://en.wikipedia.org/wiki/Atuona_Airport","4","0","2","0"
"AUR","LFLW","44.897500","2.416667","","https://en.wikipedia.org/wiki/Aurillac–Tronquières_Airport","1","0","1","0"
"AUS","KAUS","30.194444","-97.670000","","https://en.wikipedia.org/wiki/Austin–Bergstrom_International_Airport","92","0","24","0"
"AUU","YAUR","-13.356333","141.720917","","https://en.wikipedia.org/wiki/Aurukun_Airport","3","0","1","0"
"AUX","SWGN","-7.228333","-48.240833","","https://en.wikipedia.org/wiki/Araguaína_Airport","2","0","1","0"
"AUY","NVVA","-20.249167","169.771389","","https://en.wikipedia.org/wiki/Anatom_Airport","2","0","1","0"
"AVA","ZUAS","26.260556","105.873056","","https://en.wikipedia.org/wiki/Anshun_Huangguoshu_Airport","1","0","1","0"
"AVL","KAVL","35.436111","-82.541667","","https://en.wikipedia.org/wiki/Asheville_Regional_Airport","27","0","6","0"
"AVP","KAVP","41.338333","-75.723333","","https://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport","8","1","4","1"
"AVR","VAAM","20.813333","77.717778","","https://en.wikipedia.org/wiki/Amravati_Airport","1","0","1","0"
"AVV","YMAV","-38.040556","144.470833","","https://en.wikipedia.org/wiki/Avalon_Airport","5","1","1","1"
"AWA","HALA","7.095000","38.398333","","https://en.wikipedia.org/wiki/Awasa_Airport","1","0","1","0"
"AWB","AYAW","-8.014333","142.751000","","https://en.wikipedia.org/wiki/Awaba_Airport","2","0","1","0"
"AWK","PWAK","19.282500","166.636667","","https://en.wikipedia.org/wiki/Wake_Island_Airfield","2","0","2","0"
"AWZ","OIAW","31.337500","48.761944","","https://en.wikipedia.org/wiki/Qasem_Soleimani_International_Airport","25","0","18","0"
"AXA","TQPF","18.204722","-63.055000","","https://en.wikipedia.org/wiki/Clayton_J._Lloyd_International_Airport","18","0","7","0"
"AXD","LGAL","40.855869","25.956264","","https://en.wikipedia.org/wiki/Alexandroupoli_Airport","3","0","2","0"
"AXF","ZBAL","38.748310","105.588580","","https://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport","5","0","1","0"
