"origin","nb_outlinks","outlinks"
"HAN","75","ADD ALA AMD AMS AUH BKK BLR BMV BOM CAN CCU CGK CGO CKG CNX CSX DAD DEL DLI DLU DMK DOH DPS DXB DYG ENH FOC FSZ HFE HGH HIJ HKG HND HUI ICN IKT IST KHH KMG KTI LHR LHW LPQ MEL MNL MUC MXP NGO NRT PEK PKX PQC PVG PXU RGN RMQ SAI SGN SIN SVO SZX TAO TBB TFU TLV TNA TPE VCS VDH VII VTE VVO WUH XIY XMN"
"HAO","0",""
"HAQ","6","BLR COK DRV IFU MLE TRV"
"HAS","8","CAI DMM DOH DXB JED KWI RUH SHJ"
"HAU","8","AGP ALC BGO CHQ GDN LPA OSL PMI"
"HAV","23","BCA BOG CCC CCS CDG CUN GEO GER IST JBQ MAD MEX MIA MID MTY PEK POS PTY SCU SVO TPA VLN YYZ"
"HAY","2","BAQ BOG"
"HBA","10","ADL AKL BNE CBR MEL NTL OOL PER SYD YWKS"
"HBE","21","AMM ATH AUH BEN BGY CAI CMN DMM DOH DXB HRG IST JED KWI MED MJI MRA RUH SAW SHJ SSH"
"HBQ","1","XNN"
"HBX","6","BLR BOM DEL HYD NMI PNQ"
"HCJ","1","SZX"
"HCQ","4","BME BQW FIZ KNX"
"HCR","4","ANI ANV KGX SHX"
"HCZ","6","CKG HAK NKG PKX PVG XIY"
"HDF","6","FDH FRA KSF LUX MHG ZRH"
"HDG","14","CAN CKG CTU DLC HAK HGH HRB KMG NNG PVG SHE SYX XMN XNN"
"HDK","3","DRV IFU MLE"
"HDM","4","JED MED MHD THR"
"HDN","16","ATL BNA BOS DAL DEN DFW EWR FLL IAD IAH LAX MSP ORD SAN SEA SFO"
"HDO","10","AIP BLR BUP CCU LUH MAA MDA NDC NMI VNS"
"HDS","3","CPT GRJ JNB"
"HDY","10","BKK BTZ CNX DMK HHQ HKT KUL SIN SZB UTH"
"HEA","2","JED KBL"
"HEH","11","KET LIW LSH MDL MOG MYT NYT NYU RGN SNW THL"
"HEK","7","DQA DTU HRB LDS OHE PKX PVG"
"HEL","78","ACE AGP ALC ALF AMS AOK ARN ATH AYT BCN BER BGO BGY BKK BLL BOJ BRU BUD CDG CHQ CPH DBV DEL DOH DUB DUS DXB FAO FCO FLR FNC FRA GOT GVA GZP HKT HND HRG IST JFK JOE JYV KBV KEF KGS KTT LAX LGW LJU LPA LPI LUX MAD MIA MUC MXP ORB OSL PKX PMI POR PVG RHO RIX SAW SEA SKG SPU SVG SVL TIV TRD URE VAR VCE VIE WMI YYZ"
"HER","120","ALA AMS ANR ATH AXD AYT BCN BEG BER BES BFS BGY BHX BLQ BOD BOH BRE BRN BRQ BRS BRU BSL BTS CDG CFU CGN CLJ CPH CRL CTA CWL DEB DUB DUS EDI EIN EMA ERF EVN EXT FCO FDH FMM FMO FRA GLA GOT GRQ GRZ GVA GYD HAJ HAM HFA HRG IST JCL JED JMK JNX JSY JTR KGS KLV KLX KSC KTW LBA LCA LEJ LGW LHR LIL LPL LTN LUX LYS MAN MJT MRS MST MUC MXP NAP NCL NTE NUE NWI OMR ORY OSL OSR OST OTP PAS PMO PRG PRN RHO RIX RLG RMO RTM SCV SKG SOF STN STR SXB SZG TIA TLL TLS TLV TSR VIE VOL VRN WAW ZRH"
"HES","0",""
"HET","63","AXF CAN CGO CGQ CIF CIH CKG CSX CTU DLC DSN ENY FOC HAK HFE HGH HIA HKG HLD HLH HRB HUO INC JJN JNG KHN KMG KWE LFQ LYA NKG NNG NZH NZL PEK PVG RLK SHA SHE SJW SYX SZX TAO TFU TGO TNA TSN UBN URC WDS WNZ WUA WUH WUX XFN XIL XIY XMN XUZ YCU YIE YNT ZUH"
"HFA","8","AOK ATH ETM HER JMK PFO RHO SOF"
"HFE","64","BAR BHY BKK CAN CGQ CKG CTU DAT DLC DMK DNH DSN DXJ HAK HAN HET HKG HRB HSN HTN ICN INC JHG JJN KIX KMG KOW KWE KWL LHW LJG LLV LXA LZH LZY MFM MIG NAO NNG PEK PKX SHE SJW SWA SYX SZX TAO TFU TSN TYN URC UYN VTE WEH WMT XIY XMN XNN YBP YCU YNT YSQ ZHA ZUH"
"HFN","1","RKV"
"HFT","4","ALF BJF BVG VDS"
"HGA","10","ADD BBO BSA CAI DXB JED JIB MGQ NBO SHJ"
"HGD","4","ISA JCK RCM TSV"
"HGH","130","ACX AKA AKL AKU ALA AUH BAV BHY BKI BKK BWN CAI CAN CDE CGD CGK CGO CGQ CIF CIH CJU CKG CSX CTU DLC DLU DMK DNH DOH DQA DSN DXB DYG ENH FUO GYS HAK HAN HET HIA HKG HKT HNY HRB HUZ HXD HZG ICN INC IQN JGN JHG JIC JJN JMU JXA KHG KIX KMG KOW KRL KRY KUL KWE KWL LFQ LHW LIS LJG LNL LUM LXA LYI LZH LZO MAD MDG MEL MFM MIG MNL MXZ NAO NNG NRT PEK PKX PVG SGN SHE SHS SIN SJW SVO SWA SYD SYX SZX TAO TAS TFU TNH TPE TSN TVS TYN UCB URC UYN VTE WDS WEH WMT WUH XFN XIC XIY XMN XNN YBP YCU YIH YLX YNT ZAT ZHA ZHY ZQZ ZUH ZYI"
"HGI","5","BOM CCU DEL GAU TEI"
"HGN","0",""
"HGO","1","ABJ"
"HGR","2","PIE SFB"
"HGU","8","CNS GKA MXH POM TBG TFM UNG WWK"
"HHH","8","ATL BOS CLT DCA EWR LGA ORD PHL"
"HHQ","5","CNX HDY HKT SZB URT"
"HHR","3","CEC MCE MMH"
"HHZ","2","HOI PPT"
"HIA","28","CAN CGQ CSX DLC FOC FUO HAK HET HRB HSN JJN KHN KMG KWE KWL LHW LJG SHE SJW SWA SZX TFU TSN TYN URC WNZ XIY XMN"
"HIB","1","MSP"
"HID","15","ABM BDD CNC CNS DAU GIC KUG MYI NLF OKR POM SBR SYU UBB XMY"
"HIJ","13","CJJ CTS DLC HAN HKG HND ICN NRT OKA PEK PVG SDJ TPE"
"HIN","2","CJU GMP"
"HIR","21","AKL AKS ATD BNE BNY CHY EGM FRE IRA KGE LLM MUA NAN NNB POM RNA RNL SCZ SON VAO VLI"
"HJJ","8","HAK HGH KMG LJG NKG PKX SYX XIY"
"HJR","2","DEL VNS"
"HKB","1","FAI"
"HKD","8","CTS HND ICN ITM NGO OIR OKD TPE"
"HKG","89","ADD AKL AMS AUH BKI BKK BWN CDG CEB CGK CGQ CJU CKG CNS CNX CRK CTS DAD DAT DEL DLC DMK DOH DPS DSN DVO DXB FCO FOC FRA HAK HAN HEL HGH HKT HND HRB ICN ILO INC IST KHH KIX KTI KTM KUL KWL LAX LHR LXA MEL MLE MNL NAN NGB NRT OKA PEK PKX POM PQC PUS PVG ROR SFO SGN SHA SHE SIN SJW SVO SYD SYX SZB TAO TFU TNA TPE TSN TYN UBN URC USM WUH WUX XIY YCU YVR ZRH"
"HKMM","0",""
"HKN","3","LAE POM RAB"
"HKNV","2","MRE WIL"
"HKT","95","AER ALA ARN AUH BAX BKK BLR BOM BRQ BTS CAN CCU CDG CEI CEK CGO CNX COK CPH DEL DMK DOH DPS DXB FRA GOJ GOT HAN HDY HEL HGH HHQ HKG HTA HYD ICN IKA IKT IST JED KHV KJA KKC KMG KUL KZN LED LGW LHR MAA MAN MCT MEL MRV MSQ MXP NKG NOZ NQZ OMS OSL OSR OVB PEK PEN PER PVG RGN RMQ RUH SAI SGC SGN SHJ SIN SOF SVO SVX SYD SZX TAS TFU TLV TOF TPE UBN UFA USM UTH UTP VKO VVO WAW XIY ZRH"
"HLA","5","CPT DUR ELS GRJ PLZ"
"HLD","25","BAV CAN CGO CIF CKG CSX FOC HET HKG HLH JGD KMG NZL PEK PKX PVG SHA SHE SJW SZX TAO TGO TNA XIL XIY"
"HLH","15","BAV CAN CGQ CIF DSN HET HLD PEK PKX PVG SHE TGO WUH XIY YIE"
"HLN","3","DEN SEA SLC"
"HLP","10","BDO CJN DPS JBB JOG KTG MLG MWK PKU PXA"
"HLZ","8","CHC GIS NPE OOL SYD WHK WLG WRE"
"HMA","20","AER CEK EYK GSV IRM KZN LED MRV NJC NNM NYA OMS OVB SLY SUI SVO SVX UFA URJ VKO"
"HMB","13","AHB AJF AMM AUH CAI DOH ELQ GIZ JED KWI RUH SHJ TUU"
"HME","6","AAE ALG BJA CZL IAM ORN"
"HMI","21","AAT AKU CGO CKG CSX HTN JBK KCA KHG KRL KRY LHW LYA PEK PVG TFU TNA URC XIY XMN YIN"
"HMO","16","CJS CSW CUL CUN CUU GDL GUB LAP MEX MTY MXL NLU PHX SJD TIJ TRC"
"HMS","2","BDJ BPN"
"HMV","2","AJR LYC"
"HNA","6","CTS FUK ITM NKM TPE UKB"
"HND","95","AKJ AOJ ARN ASJ ATL AXT BKK BOM CAN CDG CGK CPH CTS DAD DEL DFW DOH DTW DXB EWR FCO FRA FUK GAJ GMP GUM HAC HAN HEL HIJ HKD HKG HNL IAD ICN ISG IST ITM IWJ IWK IZO JFK KCZ KIX KKJ KMI KMJ KMQ KOJ KUH KUL LAX LHR MBE MMB MMY MNL MSJ MSP MUC MXP MYJ NGO NGS NTQ OBO OIT OKA OKJ ONJ ORD PEK PKX PVG SEA SFO SGN SHA SHB SHI SHM SIN SYD SYO TAK TAO TKS TPE TSA TSN UBJ UKB WKJ YGJ YYZ"
"HNH","1","JNU"
"HNL","59","AKL ANC APW ATL BOS BUR CXI DEN DFW DTW EWR GUM HND IAD IAH ICN ITO JFK JHM KIX KOA KSA KWA LAS LAX LGB LIH LNY LUP MAJ MKK MNL MSP NAN NGO NRT OAK OGG ONT ORD PAE PDX PHX PNI PPG PPT RAR SAN SEA SFO SJC SLC SMF SYD TKK YEG YVR YYC YYZ"
"HNS","2","JNU SGY"
"HNY","22","CKG FOC HAK HGH JHG JJN KMG LHW LJG NKG PEK PVG SHA SWA SYX TAO TFU TNA TSN WNZ XIY XMN"
"HOB","3","DAL DEN IAH"
"HOF","3","DXB JED MED"
"HOG","5","MIA YHZ YQB YUL YYZ"
"HOI","2","GMR PPT"
"HOK","0",""
"HOM","4","ANC KEB PGM SOV"
"HOR","5","CVU FLW LIS PDL TER"
"HOT","3","DFW HRO MEM"
"HOU","24","ABQ ATL AVL BWI COS DAL DCA DFW DSM GUF HVN JAN LAX LBB MEM MIA MSP OMA PUJ PVR PVU SMF TUS TYS"
"HOV","4","BGO OSL SDN SOG"
"HPA","1","TBU"
"HPB","3","BET SCM VAK"
"HPG","1","CAN"
"HPN","22","ACK ATL BDA CHS CLT DCA FLL FXE JAX LEB MCO MIA MVY MYR OPF ORD PBI PVC RDU RSW SAV SRQ"
"HQL","2","KHG URC"
"HQQ","6","CAN HRB SHE SYX SZX TFU"
"HRB","106","AQG BAR BAV BHY BQS CAN CGO CKG CSX CTU CZX DAT DLC DMK DOY DQA DSN FOC FUG FYJ HAK HDG HEK HET HFE HGH HKG HQQ HSN HUZ HZA ICN IKT INC JGD JJN JMU JNG JSJ JXA KHN KHV KIX KJA KMG KOW KUL KWE KWL LDS LHW LLV LYA LYG LYI LZH NGB NKG NNG NNY NRT NTG OHE PEK PKX PVG SHA SIN SJW SVX SWA SYX SZH SZX TAO TFU TNA TNH TSN TVS TXN TYN UBN UUS UYN VVO WEF WEH WNZ WUH WUS WUT WUX XFN XIL XIY XMN XUZ YCU YIH YKS YNT YNZ YTY ZUH ZYI"
"HRE","18","ADD AUH BUQ CPT DAR DOH DUR DXB EBB GBE JNB KGL LAD LLW LUN NBO SHO VFA"
"HRF","3","DRV HAQ MLE"
"HRG","101","AER ALA ALG AMM AMS ARN ASW BBU BEG BER BFS BHX BNX BOD BRQ BRS BRU BSL BTS BUD CAI CDG CEK CGN CLJ CPH CWL DEB DME DRS DUS EDI EIN EMA ERF EVN FCO FRA GDN GLA GOJ GOT GRQ GSV GVA HAJ HAM HEL IAS INI IST JED KRR KTW KWI KZN LBA LED LGW LTN LUX LYS MAN MRS MSQ MST MUC MXP NAP NCL NQZ NTE ORY OSL OSR OST OTP PAD PEE POZ PRG RIX RMO RUH SAW SOF STN STR SVO SVX TAS TLL TSR UFA VIE VKO VLC VOG WAW WRO ZRH"
"HRI","11","ALA BTC CMB GIU KCT MRV MSQ RML SOF TAS TJM"
"HRL","7","AUS CUN DAL DFW HOU IAH MSP"
"HRO","3","DFW HOT MEM"
"HSA","9","AKX ALA BHK IST KSN KWI NQZ SCO SKD"
"HSC","6","HAK PKX PVG SWA TFU XIY"
"HSF","2","DLC PEK"
"HSG","4","HND ICN PVG TPE"
"HSL","5","FAI GAL HUS RBY TAL"
"HSN","34","AQG CGO CGQ CKG CSX DLC DZH FOC FUG FUO HFE HKG HRB JJN JUH KHN KMG LYI NNG PKX SHE SWA SZX TAO TFU TNA TSN WNZ WUH XMN XUZ YNT YNZ YTY"
"HSR","6","BLR BOM DEL HYD NMI PNQ"
"HSS","2","AYJ JAI"
"HSV","18","ATL CLT DCA DEN DFW DTW FLL GUF IAD IAH LAS LGA MCO MIA ORD PIE SFB TPA"
"HSYE","2","EBB RUA"
"HTA","17","ABA BAX CXR CZR DME HKT HLD IKT KHV KJA OVB PEK SVX UIAE UUS VVO YKS"
"HTG","1","KJA"
"HTI","3","BNE MEL SYD"
"HTMR","0",""
"HTN","20","AKU CAN CGO CKG CSX FOC HFE IQM KCA KHG KRL LHW PEK RQA SHF TFU TLQ TSN URC XIY"
"HTS","7","CLT FLL MYR PGD PIE SFB VPS"
"HTT","3","DNH HXD XNN"
"HTY","5","ECN ESB IST RUH SAW"
"HUGG","1","EBB"
"HUH","4","BOB MOZ PPT RFP"
"HUI","3","DAD HAN SGN"
"HUKD","1","EBB"
"HUMW","1","EBB"
"HUN","4","ICN KHH RMQ TSA"
"HUO","5","CIF HET PEK SHE TNA"
"HUS","5","AET BTT FAI HSL TAL"
"HUU","3","LIM PCL TPP"
"HUX","13","DFW GDL GUA MEX MTY NLU OAX PBC YEG YVR YWG YYC YYZ"
"HUY","2","AMS PMI"
"HUZ","26","ACX CGD CGO CKG DXJ HAK HGH HRB INC KMG KWE NAO NGB NKG PEK PKX PVG SHE TFU TNA WMT WUH WUX XIY YIH YNZ"
"HVB","3","BNE MEL SYD"
"HVD","1","UBN"
"HVG","5","HFT KKN MEH TOS VDS"
"HVN","25","ATL BNA BWI CHS CLE DFW DTW EYW ILM IND JAX LAL MCO MYR ORD ORF PBI RDU RIC RSW SJU SRQ TPA USA VRB"
"HVR","1","BIL"
"HWN","0",""
"HWR","1","DEL"
"HXD","3","HGH HTT XNN"
"HYA","6","ACK BOS DCA JFK MVY ORD"
"HYD","81","ADD AGR AMS ATQ AUH AYJ BAH BBI BDQ BKK BLR BOM CDP CMB CNN DBR DED DEL DMK DMM DOH DXB FRA GAU GDB GOI GOP GOX HAN HBX HKG HKT HSR ISK IXA IXB IXC IXE IXG IXR IXU IXZ JAI JED JLG JRG KLH KNU KUL KWI LHR MAA MCT MED NAG NDC NMI PAT PNQ PNY RJA RKT RPR RQY RUH SAG SDW SGN SHJ SIN SSE STV SXR TIR TRV TRZ UDR VDY VGA VNS VTZ"
"HYN","26","CAN CGQ CKG CSX CTU ENH FUO HAK HRB KMG KWE NNG PEK PKX SHS SJW SWA SYX SZX TFU TNA TSN WUH XUZ YBP ZUH"
"HYS","1","DEN"
"HZA","14","CAN CGQ CKG CSX DLC HAK HGH HRB JJN KWE PVG SZX TFU WUH"
"HZG","15","CAN HGH INC KMG KWE NKG NTG PEK PKX PVG SZX URC UYN WNZ XMN"
"IAA","5","KCY KJA NSK SES THX"
"IAD","163","ABQ ADD ALB AMM AMS ANC ATH ATL AUA AUH AUS AVL AVP BCN BDL BFD BGI BNA BOG BOS BRU BTV BUF BZN CAE CAI CDG CHO CHS CKB CLE CLT CMH CMN CPH CPT CUN CVG DAY DEN DFW DOH DTW DUB DUJ DXB EDI EGE EWR EYW FCO FLL FRA GCM GRU GSO GSP GUA GVA HDN HND HNL HSV IAH ICN IND IPT IST ITH JAC JAX JED JFK JST KEF LAS LAX LFW LGA LHR LIS LNS LOS LYH MAD MBJ MCI MCN MCO MDT MEX MGW MHT MIA MOB MSP MSY MUC MYR NAS NCE OGS ORD ORF PBG PBI PDX PEK PGD PHL PHX PIT PLS PSP PTY PUJ PVD PVU PWM RDU RIC ROA ROC RSW RUH SAL SAN SAT SAV SBN SCE SDF SEA SFO SJO SJU SLC SMF SRQ STL STT SXM SYR TLV TPA TPE TRI TVC TYS VCE VIE VPS VRB VVI YHZ YOW YQB YTZ YUL YVR YYC YYZ ZRH"
"IAG","3","MYR PIE SFB"
"IAH","80","ABI ABQ AGU AKL AMA AMS ATL AUS BJX BOS BWI BZE CDG CLE CLT CUN CVG DCA DEN DFW DOH DSM DTW DXB ECP ELP EWR FCO FLL FRA GCM GDL GEO GRR GUA HND HNL ICT IST JAX JFK LAX LGA LHR MCO MDE MEX MIA MLM MSP MSY MTY NRT ORD ORF PBC PBI PDX PHL PHX QRO RAP RDU SAL SAP SAT SEA SJO SLC SLP SRQ SYD TPE TUS VER XPL YUL YVR YYC YYZ"
"IAM","4","ALG HME OGX ORN"
"IAN","2","ORV OTZ"
"IAO","3","CEB CRK DVO"
"IAQ","3","IFN SYZ THR"
"IAR","6","AER KZN LED NNM PEE VKO"
"IAS","21","BCN BGY BSL BVA CRL DUB DXB FCO HER HRG LCA OTP PRG PSR RHO SAW SKG SSH TRN VIE VLC"
"IAX","2","MNA NAH"
"IBA","1","ABV"
"IBE","2","BOG EOH"
"IBR","4","CJJ CTS FUK UKB"
"IBZ","76","ALC AMS ANR ARN ATH BCN BER BFS BGY BHX BIO BLQ BOD BOH BRS BRU BTS BZO CDG CGN CPH CWL DUB DUS EDI EIN EMA EXT FCO FRA GLA GVA HAJ HAM LBA LCY LEN LGW LHR LIN LIS LPL LTN LUX LYS MAD MAH MAN MUC MXP NAP NCE NCL NRN NTE NWI OPO ORY OSL OST OTP OVD PMI RTM SDR STN STR SVQ SZG TLS TLV TSF VIE VLC VRN ZRH"
"ICC","0",""
"ICI","1","SUV"
"ICN","169","ADD AKL ALA AMS AOJ ASB ATH ATL AUH BCN BKI BKK BNE BOS BSZ BTH BUD BWN CAN CDG CEB CGK CGO CGQ CIT CJU CKG CMB CNX CPH CRK CSX CTS CXR DAC DAD DEL DFW DLC DLI DMK DOH DPS DSN DTW DXB DYG ENH EWR FCO FOC FRA FSZ FUK GUM HAK HAN HEL HFE HGH HIJ HKG HKT HND HNL HRB HSG HUN IAD IBR ISG IST JFK JMU KHH KIJ KIX KKJ KLO KMG KMI KMJ KMQ KOJ KTI KTM KUL KWE KWL LAS LAX LHR LIS MAD MDC MDG MEL MEX MFM MNL MSP MUC MXP MYJ NGO NGS NKG NQZ NRT OBO OIT OKA OKJ ORD PEK PKX PQC PRG PUS PVG RGN RMQ SAI SDJ SEA SFO SGN SHI SIN SJW SLC SPN SYD SYX SZX TAE TAG TAK TAO TAS TFU TKS TNA TPE TSN TXN UBN UKB VIE VTE WAW WEH WNZ WRO WUH WUX XIY XMN YGJ YNJ YNT YNZ YTY YUL YVR YYC YYZ ZAG ZRH"
"ICT","16","ATL AZA DCA DEN DFW IAH LAS MDW MIA MSP ORD PHX PIE SEA SFB VPS"
"IDA","11","AZA DEN DFW LAS LAX OAK ORD PDX PHX SEA SLC"
"IDR","17","AMD BLR BOM CCU DEL GDB GOI HYD IXC IXJ JAI JLG MAA PNQ RPR SHJ UDR"
"IEG","2","AYT WAW"
"IFJ","1","RKV"
"IFN","31","ABD AKW AWZ BGW BND DOH DXB GSM IAQ IST JED KER KHK KIH KWI LVP MCT MED MHD MRX NJF PGU RAS SAW SRY SXI SYZ TBZ THR ZAH ZBR"
"IFP","0",""
"IFU","2","HAQ MLE"
"IGA","2","MYG NAS"
"IGD","3","ESB IST SAW"
"IGG","3","AKN DLG KLL"
"IGR","9","AEP COR EZE JUJ LIM RES ROS SLA TUC"
"IGT","2","AER SVO"
"IGU","10","BSB CGH CNF CWB FOR GIG GRU REC SCL VCP"
"IIL","2","MHD THR"
"IJK","11","AER DME IKT KGD LED MCX MRV OVB SGC SVO SVX"
"IKA","35","ADB ALA BGW BOM BUS CAN DOH DXB DYU ESB EVN FRA GRV GYD HKT ISB IST ISU JED KBL KUL KWI LHE MCT MED MZR NJF PKX SAW SHJ SVO TAS TBS URC VIE"
"IKE","2","SAE UMD"
"IKG","2","BSZ OSS"
"IKI","1","NGS"
"IKO","1","DUT"
"IKS","2","VKO YKS"
"IKT","55","ABA AER ALA AZN BKK BQS BTK CAN CXR CZR DME DYU FEG HAN HKT HRB HTA IJK KHV KJA KLO KZN LED MJZ NER NMA NOZ NZH ODO OLZ OMS OSS OVB PEK PKC PKX PVG PYJ RGK SVO SVX SYX TAS TLK TOF UBN UFA UIKM UITK UKX ULK UTP UUD VVO YKS"
"IKU","5","ALA OSS OVB SVO TAS"
"ILG","4","FLL MCO MYR RSW"
"ILI","5","ANC KNK NNL PDB PTA"
"ILM","21","ATL BDL BNA BOS BWI CAK CLT DEN DFW EWR FLL HVN ILG ISP LGA MCO MSP ORD PVD ROC TPA"
"ILO","12","CEB CGY DGT DMK DRP DVO HKG MNL SIN TAC TAG ZAM"
"ILP","2","GEA NOU"
"ILR","2","ABV LOS"
"ILU","2","ASV WIL"
"ILY","1","GLA"
"IMF","13","AJL BLR BOM CCU DEL DMU GAU IXA IXB IXS MDL SHL TEI"
"IMK","2","KEP SKH"
"IMP","4","BSB CNF GRU SLZ"
"IMT","0",""
"INB","9","BZE CUK CYC CZH DGA PLJ PND SPR TZA"
"INC","59","AKU CAN CGO CKG CSX CTU CZX DLC DSN DXB ENH ENY FOC GYU HAK HET HFE HGH HKG HRB HUZ HZG JBK JGN JJN KHN KMG KRY KUL KWE KWL LJG LZO NKG PEK PKX PVG SHA SJW SWA SYX SZX TAO TFU TNA TSN TVS TYN URC UYN WNZ WUH XMN XNN XUZ YIH YNT YTY ZHA"
"IND","37","ATL AUS BOS BUR CHS CLT CUN DAL DCA DEN DFW DTW DUB ECP EWR FLL HVN IAD IAH LAS LAX MCO MIA MSP MYR ORD PHL PHX PUJ RSW SAV SEA SFO SLC USA VPS YYZ"
"INF","1","TMR"
"INH","2","MPM VNX"
"INI","14","ARN BEG BSL CGN DTM FMM IST LJU MIR MLA STR TIV VIE ZRH"
"INL","1","MSP"
"INN","33","AMS ARN ATH BHX BLL BRS BRU CAG CLY CPH EDI EIN FRA HAM HER KEF KGS KLX LCY LGW LHR LTN MAD MAN NCL PMI PVK RHO RIX RTM SUF VIE WAW"
"INU","6","BNE MAJ NAN ROR SUV TRW"
"INV","14","AMS BHD BHX BRS DUB KOI LGW LHR LPA LSI LTN MAN PMI SYY"
"INZ","3","ALG HME TMR"
"IOA","8","AAL ARN ATH BLL CPH GOT OSL SVG"
"IOM","15","AGP BHX BRS DUB EDI FAO IBZ LGW LHR LPL LTN MAN NQY PMI TFS"
"ION","1","BZV"
"IOQ","1","AGM"
"IOS","5","CGH CNF GRU SSA VCP"
"IOT","2","JUU UMD"
"IPH","2","JHB SIN"
"IPI","2","BOG CLO"
"IPL","2","LAX PHX"
"IPN","1","CNF"
"IPT","1","IAD"
"IQM","5","HTN KCA KRL RQA TLQ"
"IQN","10","CKG DNH HAK HGH KWE LHW PKX PVG SZX TSN"
"IQQ","7","ANF ARI ASU CCP LPB LSC SCL"
"IQR","1","CEB"
"IQT","8","CIX LIM PCL SPBC SPEE SPGP TDP TPP"
"IRA","1","HIR"
"IRC","2","CEM FAI"
"IRG","3","AUU CNS WEI"
"IRI","2","DAR DOD"
"IRJ","2","AEP CTC"
"IRK","1","ORD"
"IRM","2","HMA TJM"
"IRP","7","BKY BNC BUX FBM FKI FMI GOM"
"IRZ","2","MAO TFF"
"ISA","19","BEU BNE BQL BUC BVI CNJ CNS CTL DMD HGD JCK KRB NTN ONG RCM TSV ULP WNR WTB"
"ISB","42","AAN AUH BAH BGW BKK BSZ CAN CDG CJL DMM DOH DXB DYU ELQ GIL GYD IKA IST JED KBL KDU KHG KHI KUL KWI LGW LHE LHR MAN MCT MED NJF PEK PKX RKT RUH SHJ SKZ TAS UET URC YYZ"
"ISC","4","EXT LEQ NQY PZE"
"ISE","1","IST"
"ISG","11","FUK HKG HND ICN KIX MMY NGO NRT OGN OKA TPE"
"ISK","5","AMD BLR DEL GOI HYD"
"ISP","14","BOS BWI CHS FLL ILM MCO MYR ORF PBI RIC RSW TPA USA VRB"
"IST","218","ABJ ABV ADB ADD ADF AER AGP AHB AJI AKX ALA ALG ALP AMM AMS ASB ATH ATL AUH AWZ AZN BAH BCN BEG BEN BEY BGW BJV BKK BLQ BOD BOG BOM BUD CAI CAN CCS CDG CEK CGK CIT CLJ CMN COO COV CPH CPT CRA CTA CUN DAC DAM DAR DEL DFW DIY DLA DLM DME DMM DNZ DOH DPS DSS DUB DUR DUS DXB DYU EBL EDI EDO EVN EZS FRA GDN GOJ GRU GRV GUW GYD HAH HBE HER HKT HND HSA IAS ICN IFN IKA INI ISB ISE JED JIB JMK JTR KBL KCM KEF KGF KHI KIK KIX KLF KRK KRR KSQ KSY KTI KVO KWI KZN KZR LAX LBD LED LGW LHR LTN LUN LUX LYS MAD MBA MCT MCX MED MEL MEX MGQ MIA MJI MLA MLX MPL MRA MRU MRV MSQ MUC MXP MZH MZR NBC NBJ NMA NQZ NRT NSI NTE OGU OGZ OHD ONQ OPO ORD ORN ORY OSL OTP OUA OVB PEK PKX PMO PNR PRG PRN PTY PVG PZU RBA RHO RIX RMO ROB RUH RVN SCO SEZ SHJ SIN SJJ SKD SKG SPU SSH SVO SVX SXB SYD SYZ TAS TBZ TFU TGD TIA TIF TIV TJK TJM TNG TRN TSR TUN UBN UFA URC VKO XIY YKO YUL YYZ ZAG ZIA ZNZ"
"ISU","11","AMM BEY BGW BSR CAI DOH DUS DXB IKA IST SAW"
"ITB","1","MAO"
"ITH","2","IAD JFK"
"ITM","28","AOJ ASJ AXT CTS FKS FUK GAJ HKD HNA HND IZO KCZ KIJ KMI KMJ KOJ KUM MMJ MSJ MYJ NGS NRT OIT OKA OKI SDJ TJH TNE"
"ITO","3","HNL LAS OGG"
"ITU","2","UUS VVO"
"IUE","1","AKL"
"IUI","2","JUV TQA"
"IUP","2","MAO MNX"
"IVC","3","AKL CHC SZS"
"IVL","9","AMS DUS FRA HEL KKN LGW ORY VIE ZRH"
"IVR","2","BNE SYD"
"IWA","5","AER KGD LED MCX MRV"
"IWD","2","MSP ORD"
"IWJ","2","HND ITM"
"IWK","2","HND OKA"
"IXA","11","AMD BLR CCU DEL DIB GAU HYD IMF IXB IXS MAA"
"IXB","14","AMD BKK BLR BOM CCU DEL DIB GAU HYD IMF IXA MAA PBH PNQ"
"IXC","18","AMD AUH BLR BOM CCU DEL DHM DXB HSS IXJ IXL JAI LKO MAA NMI PAT PNQ SXR"
"IXD","7","BBI BLR BOM DEL HYD PAB RPR"
"IXE","14","AUH BAH BLR BOM DEL DMM DXB HYD JED KWI MAA MCT NMI TRV"
"IXG","5","BLR BOM DEL HYD NMI"
"IXI","4","CCU GAU SHL TEZ"
"IXJ","13","AMD BLR BOM CCU DEL HDO HYD IDR IXC IXL MAA NMI SXR"
"IXK","3","AMD BOM DIU"
"IXL","5","BOM DEL IXC IXJ SXR"
"IXM","7","AUH BLR BOM CMB DEL DXB MAA"
"IXR","11","AMD BBI BLR BOM CCU DEL HYD LKO MAA PAT PNQ"
"IXS","3","AJL CCU IMF"
"IXT","2","GAU HGI"
"IXU","5","BLR BOM DEL GOX HYD"
"IXW","2","BBI CCU"
"IXX","1","BLR"
"IXZ","6","BLR CCU DEL HYD MAA VTZ"
"IZA","3","CGH GRU VCP"
"IZO","7","FSZ FUK HND ITM NGO NKM OKI"
"IZT","2","NLU OAX"
