"origin","nb_outlinks","outlinks"
"AYT","140","ADB AER ALA AMM AMS ANR ARH ARN AUH BBU BER BEY BFS BGO BHX BLL BOH BQT BRE BRS BRU BSL CAI CDG CEK CGN CIT CLJ COV CPH CRL CWL DAM DBB DME DRS DTM DUS DXB EDI EIN EMA ERF ERZ ESB ESL FDH FMM FMO FRA GDN GLA GME GOJ GRQ GRV GRZ GSV GVA GYD GZT HAJ HAM HEL IKT IST JCL JED KGD KGF KJA KLV KRK KRR KWI KZN KZO LBA LCJ LED LEJ LGW LPL LTN LUX LUZ LYS MAN MRS MRV MST MUC MVQ MXP NCL NQZ NRN NTE OMS ORY OSL OST OTP OVB PAD PEE PLQ POZ PRG PRN PZY REN RIX RLG RTM RUH RZE SAW SCN SEN SGC SJJ SKP SKX SSH STN STR SVG SVO SZY SZZ TBS TJM VIE VKO VTB WAW WRO ZIA ZRH"
"AYW","0",""
"AYX","1","PCL"
"AZA","0",""
"AZD","11","AWZ BND GSM IFN JED KIH MED MHD NJF TBZ THR"
"AZN","8","IKT IST JED LED MED OVB TAS VKO"
"AZO","2","DTW ORD"
"AZR","7","ALG BMW CZL INZ OGX ORN TMR"
"AZS","4","ORY YQB YUL YYZ"
"BAH","53","ADD AER AGP ALA AMM ATH AUH AYT BKK BOM BTS CAI CAN CCJ CDG CNN COK DBB DEL DMM DOH DXB GVA GYD HYD ISB IXE JED JFK KUL KWI LGW LHE LHR MAN MCT MED MNL NCE NJF PRG RUH SAW SHJ SIN SKT SLL SVO TBS TIA TRV TZX YEI"
"BAL","3","ESB IST SAW"
"BAQ","16","ADZ BGA BLB BOG CLO CUC CUR EOH FLL HAY MDE MIA MTR PTY RCH VUP"
"BAR","11","CAN CKG HFE KUL KWE LZH PEK PKX PVG TFU WUH"
"BAS","2","MNY MUA"
"BAT","1","VCP"
"BAV","15","CAN CGO CIF HAK HLD HLH HRB LYA PEK SJW TGO TYN WUH XIY XMN"
"BAX","14","AER CXR DME HKT HTA KJA KZN LED OVB SGC SVO SVX UTP UUD"
"BAY","2","BVA OTP"
"BAZ","1","MAO"
"BBA","5","CCP PMC PUQ SCL ZCO"
"BBG","2","MTK TRW"
"BBI","20","AMD BLR BOM CCU DEL GAU HYD IXD IXR IXW JRG MAA PAT PNQ PYB RPR RRK UKE VNS VTZ"
"BBK","6","CPT GBE JNB MQP MUB WDH"
"BBL","2","BNE MOO"
"BBN","6","BKM LBP LGL MUR MYY ODN"
"BBO","0",""
"BBQ","2","ANU MNI"
"BBU","18","ARN AYT BGY BJV BRI BSL BUD FKB FMM GRO HAM HRG KRK NAP NBE SSH WAW WRO"
"BCA","0",""
"BCD","2","CEB MNL"
"BCH","0",""
"BCI","2","BNE LRE"
"BCM","9","BGY BRU DUB FCO LCA LTN MAD TSF VLC"
