"origin","nb_outlinks","outlinks","weights","nb_airlines"
"BUW","0","","","0"
"BUX","0","","","0"
"BUZ","0","","","0"
"BVA","0","","","0"
"BVB","0","","","0"
"BVC","0","","","0"
"BVE","0","","","0"
"BVG","0","","","0"
"BVH","0","","","0"
"BVI","0","","","0"
"BVJ","0","","","0"
"BVS","0","","","0"
"BWA","0","","","0"
"BWB","0","","","0"
"BWI","3","CVG EWR SDF","1 1 1","3"
"BWK","0","","","0"
"BWN","0","","","0"
"BWT","0","","","0"
"BWX","0","","","0"
"BXB","0","","","0"
"BXD","0","","","0"
"BXG","0","","","0"
"BXU","0","","","0"
"BXW","0","","","0"
"BYK","0","","","0"
"BYO","0","","","0"
"BYP","0","","","0"
"BZE","0","","","0"
"BZG","0","","","0"
"BZL","0","","","0"
"BZN","0","","","0"
"BZO","0","","","0"
"BZR","0","","","0"
"BZV","5","ADD AUH BGF LOS LUX","1 1 1 1 1","4"
"BZX","0","","","0"
"CAB","0","","","0"
"CAC","0","","","0"
"CAD5","0","","","0"
"CAE","1","MYR","1","1"
"CAE7","0","","","0"
"CAE9","0","","","0"
"CAF","0","","","0"
"CAG","0","","","0"
"CAH","0","","","0"
"CAH3","0","","","0"
"CAI","26","ACC ADD AMM AMS BAH BEY BOM BRU CGN DMM DWC FRA IST JNB KAN KWI LGG LHE LOS LUX MRU MXP NDJ OST RUH SHJ","1 1 2 1 1 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1","9"
"CAJ","0","","","0"
"CAK","0","","","0"
"CAL","0","","","0"
"CAM9","0","","","0"
"CAN","15","ANC BKK BOM CDG DAC DOH FRA LAX MEM NRT OSL PEK PIK STN VIE","1 1 1 2 1 1 1 1 1 1 1 1 2 1 1","8"
"CAN3","0","","","0"
"CAP","1","MIA","1","1"
"CAP5","0","","","0"
"CAP8","0","","","0"
"CAQ","0","","","0"
"CAT","0","","","0"
"CAU","0","","","0"
"CAY","0","","","0"
"CBA9","0","","","0"
"CBB","0","","","0"
"CBH","0","","","0"
"CBL","0","","","0"
"CBO","0","","","0"
"CBQ","0","","","0"
"CBR","0","","","0"
"CBS8","0","","","0"
"CBT","0","","","0"
"CCC","0","","","0"
"CCE","0","","","0"
"CCF","0","","","0"
"CCJ","0","","","0"
"CCK","0","","","0"
"CCP","0","","","0"
"CCR","0","","","0"
"CCS","3","BOG MIA SDQ","1 2 1","4"
"CCU","9","BOM DAC DEL DOH EHU GAU HGH KMG SGN","1 1 1 1 1 1 1 1 1","4"
"CCV","0","","","0"
"CCX6","0","","","0"
"CD-0020","0","","","0"
"CDB","0","","","0"
"CDC","0","","","0"
"CDE","0","","","0"
"CDG","94","AJA AMS ARN ATH AUH BCN BER BLL BLQ BLR BOM BRQ BSL CAN CGN CMN CPH CRZ CVG DEL DUB DWC DXB EDI EMA EWR FCO FRA GDL GDN GOT GVA GYD HAJ HAM HEL HKG IAH ICN IND IST KIX KTW KUN LCA LEJ LGG LHR LIS LJU LYS MAD MAN MEM MLA MME MRS MUC MXP NCE NRT NUE OPO ORB ORD OSL OTP PEK PHL PIK PRG PVG RIX RUH SDF SIN SNN SOF STN STR SVQ SZX TKU TLL TLS TLV TSN TSR VCE VIE VIT VLC WAW XMN","1 1 1 1 2 1 2 1 1 1 2 1 1 2 3 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 5 1 1 1 4 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1","17"
"CDP","0","","","0"
"CDR","0","","","0"
"CDT","0","","","0"
"CDV","2","ANC YAK","1 1","1"
"CEB","7","CRK DVO HKG MNL SZX WHA XMN","1 1 1 1 2 1 1","6"
"CEC","4","ACV OTH PDX SMF","1 1 1 1","2"
"CED","0","","","0"
"CEE","0","","","0"
"CEI","0","","","0"
"CEK","1","VKO","1","1"
"CEM","0","","","0"
"CEN","0","","","0"
"CEZ","0","","","0"
"CFB","2","MIA VCP","1 1","1"
"CFE","1","DSS","1","1"
"CFG","0","","","0"
"CFK","0","","","0"
"CFN","0","","","0"
"CFR","0","","","0"
"CFS","0","","","0"
"CFU","0","","","0"
"CGA","0","","","0"
"CGB","0","","","0"
"CGD","0","","","0"
"CGF","1","CVG","1","1"
"CGH","0","","","0"
"CGI","0","","","0"
"CGK","18","BKK BPN DOH DWC HGH HKG ICN KUL LUX NGB NRT PEN PKU SGN SIN SZX TPE UPG","1 1 1 2 1 3 2 3 1 1 1 1 1 1 1 1 1 1","13"
"CGM","0","","","0"
"CGN","58","AMS AOI ARN BCN BGY BLL BLR BOM BSL BUD CAI CAN CDG CIA DEL DUB DXB EDI EMA EVN EWR FRA GVA HEL HKG IST JFK KTW LCA LHR LYS MAD MEM MMX MRS MUC NAP OPO OSL OSR OTP PHL PRG PVG SDF SOF STN SZX TBS TLV TSR VCE VIE VLC WAW WRO YHM YYT","1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1","7"
"CGO","38","AMS ANC ATL BKK CAN CRZ DOH DWC GYD HAN HGH HHN HKG ICN KMQ LGG LUX MNL MST MXP NKG NLU NRT ORD OVB PVG RFD SJW SOF STN SZX TPE TSN WUH WUX XIY YEG ZAZ","3 5 1 1 1 1 1 1 1 1 2 1 2 6 1 2 1 1 1 1 2 2 1 2 1 3 1 1 1 1 1 1 1 1 1 1 1 1","27"
"CGP","4","AUH CXB DAC HAN","1 3 4 1","5"
"CGQ","3","NKG SHE TNA","1 1 1","1"
"CGR","0","","","0"
"CGU","0","","","0"
"CGY","0","","","0"
"CHA","1","MEM","1","1"
"CHC","5","AKL BNE MEL PMR SYD","7 1 4 2 4","7"
"CHG","0","","","0"
"CHH","0","","","0"
"CHO","0","","","0"
"CHQ","0","","","0"
"CHS","9","ANC BNA GSO IAB MEM MIA NGO RSW TAR","1 1 2 1 2 1 1 1 1","4"
"CHT","0","","","0"
"CHU","0","","","0"
"CHX","0","","","0"
"CHY","0","","","0"
"CIA","0","","","0"
"CID","9","CVG DFW DSM IND MCI MEM RFD SDF SPW","1 1 2 1 1 1 1 1 1","3"
"CIF","0","","","0"
"CIH","0","","","0"
"CIJ","0","","","0"
"CIK","0","","","0"
"CIT","0","","","0"
"CIU","0","","","0"
"CIV","0","","","0"
"CIW","0","","","0"
"CIX","0","","","0"
"CIY","0","","","0"
